dt=0.010000 dtgps=0.100000 dtbaro=0.100000 kp_baro=0.000000 kp_gps=0.000000 ki=0.010000
dt=0.000000 dtgps=0.000000 dtbaro=0.010000 kp_baro=0.010000 kp_gps=0.010000 ki=0.000000
dt=0.010000 dtgps=0.010000 dtbaro=0.000000 kp_baro=0.001000 kp_gps=0.001000 ki=0.001000
dt=0.001000 dtgps=0.001000 dtbaro=0.001000 kp_baro=px py pz vx vy vz
0.230483 0.040220 -12.943178 0.233280 0.048986 -16.662029
0.232833 0.040713 -13.110774 0.235037 0.049307 -16.759682
0.235200 0.041209 -13.279350 0.236698 0.049646 -16.857535
0.237966 0.042203 -13.450513 0.276567 0.099334 -17.116359
0.240748 0.043198 -13.622655 0.278248 0.099574 -17.214139
0.243548 0.044198 -13.795773 0.279908 0.099926 -17.311868
0.246364 0.045200 -13.969870 0.281620 0.100231 -17.409621
0.249197 0.046206 -14.144943 0.283343 0.100639 -17.507347
0.252048 0.047216 -14.320994 0.285046 0.100925 -17.605125
0.254915 0.048228 -14.498023 0.286707 0.101286 -17.702830
0.257799 0.049246 -14.676028 0.288455 0.101715 -17.800580
0.260700 0.050267 -14.855012 0.290121 0.102154 -17.898383
0.263619 0.051293 -15.034973 0.291856 0.102547 -17.996110
0.267037 0.051761 -15.217612 0.341815 0.046827 -18.263823
0.270471 0.052232 -15.401229 0.343421 0.047165 -18.361727
0.273922 0.052708 -15.585823 0.345053 0.047522 -18.459433
0.277389 0.053187 -15.771395 0.346737 0.047894 -18.557161
0.280873 0.053669 -15.957946 0.348386 0.048274 -18.655112
0.284374 0.054156 -16.145476 0.350083 0.048701 -18.753011
0.287893 0.054647 -16.333984 0.351863 0.049078 -18.850809
0.291428 0.055143 -16.523470 0.353581 0.049601 -18.948583
0.294981 0.055644 -16.713933 0.355299 0.050125 -19.046357
0.298551 0.056150 -16.905375 0.356930 0.050576 -19.144185
0.301328 0.056293 -17.099578 0.277780 0.014272 -19.420227
0.304123 0.056439 -17.294758 0.279410 0.014600 -19.518031
0.306934 0.056588 -17.490917 0.281120 0.014951 -19.615930
0.309762 0.056742 -17.688055 0.282780 0.015322 -19.713807
0.312606 0.056898 -17.886172 0.284396 0.015593 -19.811687
0.315465 0.057057 -18.085267 0.285948 0.015990 -19.909470
0.318340 0.057222 -18.285339 0.287531 0.016458 -20.007250
0.321233 0.057390 -18.486389 0.289258 0.016826 -20.104976
0.324142 0.057562 -18.688416 0.290916 0.017163 -20.202730
0.327068 0.057736 -18.891421 0.292636 0.017374 -20.300484
0.329978 0.058891 -19.097271 0.290940 0.115573 -20.584949
0.332904 0.060050 -19.304098 0.292601 0.115899 -20.682677
0.335846 0.061212 -19.511902 0.294176 0.116153 -20.780485
0.338803 0.062378 -19.720685 0.295731 0.116567 -20.878291
0.341776 0.063547 -19.930446 0.297287 0.116981 -20.976098
0.344764 0.064721 -20.141186 0.298780 0.117349 -21.073982
0.347768 0.065898 -20.352905 0.300428 0.117736 -21.171859
0.350789 0.067080 -20.565601 0.302138 0.118145 -21.269659
0.353828 0.068265 -20.779275 0.303845 0.118484 -21.367362
0.356882 0.069452 -20.993927 0.305411 0.118741 -21.465221
0.360924 0.070107 -21.211498 0.404183 0.065519 -21.757129
0.364981 0.070765 -21.430048 0.405741 0.065787 -21.854962
0.369054 0.071426 -21.649576 0.407257 0.066056 -21.952846
0.373142 0.072089 -21.870082 0.408842 0.066372 -22.050528
0.377247 0.072756 -22.091564 0.410455 0.066649 -22.148236
0.381369 0.073427 -22.314024 0.412199 0.067091 -22.245983
0.385508 0.074101 -22.537461 0.413920 0.067433 -22.343734
0.389663 0.074778 -22.761877 0.415553 0.067649 -22.441589
0.393835 0.075457 -22.987271 0.417139 0.067992 -22.539395
0.398023 0.076141 -23.213643 0.418790 0.068353 -22.637221
0.401039 0.076301 -23.442996 0.301625 0.016000 -22.935233
0.404071 0.076464 -23.673327 0.303182 0.016283 -23.033114
0.407118 0.076630 -23.904637 0.304717 0.016591 -23.131045
0.410180 0.076800 -24.136927 0.306208 0.017006 -23.228951
0.413258 0.076973 -24.370194 0.307789 0.017296 -23.326732
0.416353 0.077149 -24.604438 0.309490 0.017643 -23.424408
0.419465 0.077329 -24.839660 0.311179 0.018025 -23.522184
0.422592 0.077512 -25.075860 0.312772 0.018306 -23.620039
0.425736 0.077700 -25.313039 0.314349 0.018711 -23.717843
0.428896 0.077890 -25.551196 0.316000 0.019079 -23.815670
0.432535 0.079419 -25.792400 0.363921 0.152845 -24.120453
0.436189 0.080951 -26.034583 0.365397 0.153227 -24.218261
0.439857 0.082487 -26.277743 0.366852 0.153634 -24.316070
0.443541 0.084027 -26.521883 0.368331 0.153916 -24.413953
0.447240 0.085568 -26.767000 0.369898 0.154171 -24.511759
0.450954 0.087113 -27.013096 0.371471 0.154519 -24.609588
0.454684 0.088662 -27.260171 0.372910 0.154875 -24.707423
0.458428 0.090215 -27.508223 0.374477 0.155232 -24.805252
0.462189 0.091770 -27.757254 0.376045 0.155589 -24.903081
0.465965 0.093330 -28.007263 0.377626 0.156001 -25.000885
0.470298 0.093387 -28.260362 0.433270 0.005620 -25.309883
0.474647 0.093445 -28.514437 0.434903 0.005827 -25.407587
0.479011 0.093507 -28.769491 0.436416 0.006180 -25.505368
0.483390 0.093572 -29.025523 0.437883 0.006483 -25.603177
0.487784 0.093639 -29.282532 0.439475 0.006764 -25.700931
0.492195 0.093711 -29.540520 0.441023 0.007194 -25.798759
0.496620 0.093786 -29.799486 0.442509 0.007500 -25.896592
0.501060 0.093863 -30.059430 0.444020 0.007705 -25.994401
0.505516 0.093943 -30.320352 0.445602 0.008024 -26.092180
0.509987 0.094026 -30.582251 0.447142 0.008243 -26.189962
0.513057 0.095207 -30.847279 0.306997 0.118149 -26.502745
0.516142 0.096391 -31.113284 0.308502 0.118334 -26.600577
0.519241 0.097577 -31.380269 0.309890 0.118597 -26.698487
0.522355 0.098766 -31.648232 0.311329 0.118932 -26.796320
0.525482 0.099958 -31.917173 0.312742 0.119179 -26.894082
0.528624 0.101152 -32.187092 0.314180 0.119459 -26.991842
0.531779 0.102350 -32.457989 0.315554 0.119773 -27.089728
0.534949 0.103552 -32.729865 0.316953 0.120161 -27.187587
0.538134 0.104757 -33.002719 0.318502 0.120504 -27.285391
0.541334 0.105965 -33.276550 0.320000 0.120781 -27.383124
0.546450 0.106778 -33.553544 0.511644 0.081392 -27.699389
0.551582 0.107596 -33.831515 0.513166 0.081725 -27.797119
0.556729 0.108417 -34.110465 0.514653 0.082106 -27.894973
0.561888 0.109241 -34.390394 0.515993 0.082422 -27.992884
0.567062 0.110070 -34.671301 0.517354 0.082879 -28.090693
0.572250 0.110903 -34.953185 0.518789 0.083328 -28.188426
0.577453 0.111740 -35.236047 0.520293 0.083684 -28.286230
0.582671 0.112580 -35.519887 0.521829 0.084044 -28.383984
0.587904 0.113424 -35.804705 0.523316 0.084384 -28.481789
0.593153 0.114271 -36.090500 0.524848 0.084677 -28.579520
0.596232 0.114875 -36.379455 0.307949 0.060427 -28.895450
0.599326 0.115482 -36.669388 0.309340 0.060687 -28.993333
0.602433 0.116092 -36.960299 0.310757 0.060970 -29.091141
0.605555 0.116704 -37.252189 0.312149 0.061223 -29.188951
0.608689 0.117318 -37.545056 0.313437 0.061421 -29.286717
0.611837 0.117935 -37.838901 0.314825 0.061661 -29.384478
0.615000 0.118555 -38.133723 0.316265 0.062004 -29.482210
0.618176 0.119177 -38.429524 0.317562 0.062252 -29.580073
0.621365 0.119803 -38.726302 0.318934 0.062544 -29.677834
0.624568 0.120431 -39.024057 0.320335 0.062864 -29.775544
0.630000 0.121814 -39.324996 0.543131 0.138270 -30.093888
0.635444 0.123200 -39.626913 0.544434 0.138609 -30.191699
0.640903 0.124590 -39.929808 0.545903 0.138989 -30.289477
0.646377 0.125984 -40.233680 0.547396 0.139398 -30.387180
0.651864 0.127381 -40.538530 0.548711 0.139637 -30.485041
0.657365 0.128779 -40.844358 0.550081 0.139874 -30.582827
0.662880 0.130182 -41.151164 0.551482 0.140274 -30.680584
0.668408 0.131589 -41.458947 0.552860 0.140675 -30.778268
0.673951 0.132999 -41.767707 0.554297 0.141011 -30.875951
