idSensor;source;status;quality;flowCompX;flowCompY;groundDistance;flowX;flowY;timestamp;index
0;0;1;64;0.4915856;2.0045018;4.353;-1;-4;37162851;46858
0;0;1;64;-1.060758;-0.021000028;4.353;2;0;37162875;46860
0;0;1;64;0.46424204;1.8613542;4.353;-1;-4;37162882;46861
0;0;1;64;-0.57462645;1.6500403;4.317;1;-3;37162906;46863
0;0;1;64;-0.27192292;-1.3171319;4.317;0;3;37162937;46866
0;0;1;64;-0.52542114;1.6562196;4.317;1;-3;37162957;46868
0;0;1;64;0.25377637;1.5025678;4.317;0;-3;37162980;46870
0;0;1;64;-1.2949879;2.402036;4.331;2;-5;37163003;46872
0;0;1;64;-0.24655785;1.3639632;4.331;0;-3;37163023;46874
0;0;1;64;0.717897;1.2439667;4.331;-1;-2;37163046;46876
0;0;1;64;-1.1321532;-1.7087598;4.331;2;3;37163054;46877
0;0;1;64;-0.2681558;2.881518;4.331;0;-6;37163066;46878
0;0;1;64;-0.53118837;2.997032;4.331;1;-6;37163097;46881
0;0;1;64;-0.21159106;0.8357879;4.349;0;-1;37163117;46883
0;0;-1;64;-0.21159106;0.8357879;4.349;0;-1;37163121;46884
0;0;1;64;-0.26393265;-0.18578964;4.349;0;0;37163152;46887
0;0;1;64;-1.0946;1.0383004;4.349;2;-2;37163164;46888
0;0;1;64;1.229719;0.6770784;4.349;-2;-1;37163183;46890
0;0;1;64;1.4877434;0.7108541;4.387;-3;-1;37163207;46892
0;0;1;64;0.29102874;0.8943405;4.387;0;-2;37163214;46893
0;0;1;64;0.27763528;0.8467957;4.387;0;-1;37163238;46895
0;0;1;64;-0.83354545;-0.24196392;4.387;1;0;37163269;46898
0;0;1;64;0.056233943;2.4450712;4.387;0;-5;37163281;46899
0;0;1;64;0.44655594;1.273511;4.481;-1;-2;37163312;46902
0;0;1;64;-0.013597995;0.6230915;4.481;0;-1;37163335;46904
0;0;1;64;-0.70695657;1.6998242;4.481;1;-3;37163355;46906
0;0;1;64;-0.8697995;0.012557307;4.481;1;0;37163378;46908
0;0;1;64;0.3010286;1.5704966;4.481;0;-3;37163398;46910
0;0;1;64;0.03824383;0.103900135;4.31;0;0;37163417;46912
0;0;1;64;0.1600498;1.530888;4.31;0;-3;37163441;46914
0;0;1;64;-0.5838625;1.1695385;4.31;1;-2;37163472;46917
0;0;1;64;-0.3348559;0.35903433;4.31;0;0;37163484;46918
0;0;1;64;-0.039958104;1.1895814;4.374;0;-2;37163507;46920
0;0;1;64;-0.6202787;1.1206274;4.374;1;-2;37163515;46921
0;0;1;64;-0.5761222;-0.14274466;4.374;1;0;37163539;46923
0;0;1;64;-0.059731096;1.3478366;4.374;0;-3;37163570;46926
0;0;1;64;1.3213652;0.008184731;4.374;-3;0;37163601;46929
0;0;1;64;1.5310644;0.43077126;4.495;-3;0;37163621;46931
0;0;1;64;-1.0972116;2.5549579;4.495;2;-5;37163644;46933
0;0;1;64;1.156113;1.3379086;4.495;-2;-2;37163667;46935
0;0;1;64;-1.0387701;0.4652446;4.495;2;-1;37163687;46937
0;0;1;64;1.4868815;2.125841;4.495;-3;-4;37163699;46938
0;0;1;64;0.57836056;1.4550686;1.923;-2;-6;37163718;46940
0;0;1;64;0.41128188;0.29428527;1.923;-1;-1;37163742;46942
0;0;1;64;-0.054249838;1.3889968;1.923;0;-6;37163773;46945
0;0;1;64;-0.45540488;0.25577527;1.923;1;-1;37163785;46946
0;0;1;64;-0.5197787;-0.0037455559;1.923;2;0;37163792;46947
0;0;1;64;0.20989624;-0.2430501;4.556;0;0;37163816;46949
0;0;1;64;0.51083565;1.0849268;4.556;-1;-2;37163839;46951
0;0;1;64;-1.8513165;-0.75921106;4.556;4;1;37163859;46953
