idSensor;source;status;sig;fix;PDOP;HDOP;VDOP;satsInUse;satsInView;latitude;longitude;altitude;trueBearing;declination;groundspeed;groundSpeedX;groundSpeedY;groundSpeedZ;initLatitude;initLongitude;initAltitude;x;y;z;timestamp;index
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793332;60
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793363;61
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793363;61
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793394;62
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793394;62
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793425;63
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793425;63
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793457;64
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793457;64
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793484;65
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793484;65
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793515;66
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793515;66
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793546;67
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793546;67
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793578;68
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793578;68
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793605;69
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793605;69
